revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/netty-socketio/revisions/rev_8b4aa3b_7b20ab1/rev_8b4aa3b-7b20ab1.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_c2c7a75_192cdc6/rev_c2c7a75-192cdc6.revisions;310;169;0;169;0;141;141;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_a8d3ad4_f6a4569/rev_a8d3ad4-f6a4569.revisions;65;51;0;51;0;14;14;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_757247b_52364bc/rev_757247b-52364bc.revisions;219;134;0;134;0;85;58;4;23;0;9;0;0
/home/arthur/analysis/projects/glide/revisions/rev_72e93e6_0618cf0/rev_72e93e6-0618cf0.revisions;576;181;0;181;0;395;395;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_be4d83b_b6d49f2/rev_be4d83b-b6d49f2.revisions;530;438;0;438;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_8d6b8e5_a75b390/rev_8d6b8e5-a75b390.revisions;77;74;0;74;0;3;3;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_8201ff1_6825d75/rev_8201ff1-6825d75.revisions;159;54;0;54;0;105;105;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_5ba3f1e_552db2f/rev_5ba3f1e-552db2f.revisions;311;169;0;169;0;142;142;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_d72d4e6_81a09a8/rev_d72d4e6-81a09a8.revisions;65;51;0;51;0;14;14;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_84177d7_7f54cd1/rev_84177d7-7f54cd1.revisions;205;134;0;134;0;71;71;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_3d25807_827fc08/rev_3d25807-827fc08.revisions;578;181;0;181;0;397;397;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_42a30b8_b55a454/rev_42a30b8-b55a454.revisions;576;484;0;484;0;92;90;2;0;1;2;1;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_be13be7_a61948b/rev_be13be7-a61948b.revisions;74;71;0;71;0;3;3;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_e4eda5e_ee91862/rev_e4eda5e-ee91862.revisions;170;54;0;54;0;116;116;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_1057a45_552db2f/rev_1057a45-552db2f.revisions;311;169;0;169;0;142;142;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_6b5845c_d1dcbcf/rev_6b5845c-d1dcbcf.revisions;65;51;0;51;0;14;13;1;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_365b819_0c13aa4/rev_365b819-0c13aa4.revisions;199;131;0;131;0;68;68;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_3cf5a30_b735d2d/rev_3cf5a30-b735d2d.revisions;578;181;0;181;0;397;397;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_89b32c1_c555643/rev_89b32c1-c555643.revisions;591;483;0;483;0;108;108;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_a096d4a_3727e50/rev_a096d4a-3727e50.revisions;82;74;0;74;0;8;8;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_6460f34_9d4286c/rev_6460f34-9d4286c.revisions;173;54;0;54;0;119;119;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_2422912_78f34cf/rev_2422912-78f34cf.revisions;312;170;0;170;0;142;142;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_446baa5_d72d4e6/rev_446baa5-d72d4e6.revisions;65;51;0;51;0;14;14;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_206bd9b_ecf068f/rev_206bd9b-ecf068f.revisions;205;135;0;135;0;70;70;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf.revisions;621;188;0;188;0;433;390;11;32;16;19;0;0
/home/arthur/analysis/projects/java/revisions/rev_cf701d4_9f64ec9/rev_cf701d4-9f64ec9.revisions;590;482;0;482;0;108;108;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_6f0b21e_b700ade/rev_6f0b21e-b700ade.revisions;258;127;0;127;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_4c2b309_288c930/rev_4c2b309-288c930.revisions;176;54;0;54;0;122;122;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_dd2921f_78f34cf/rev_dd2921f-78f34cf.revisions;312;170;0;170;0;142;142;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_c0c5730_1cf8293/rev_c0c5730-1cf8293.revisions;67;51;0;51;0;16;16;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_93ff6ad_15ee363/rev_93ff6ad-15ee363.revisions;203;131;0;131;0;72;72;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_34474ac_f3af6ea/rev_34474ac-f3af6ea.revisions;595;183;0;183;0;412;412;0;0;0;0;0;0
